Headlines,Subheadings
The Tech That Was Fixed in 2020 and the Tech That Still Needs Fixing,"From videoconferencing to fitness apps, the best tech helped us endure a hard year. But there were also low points."
Why the 5G Pushiness? Because $$$.,Selling 5G capability is a huge opportunity for phone companies. Be careful.
How to Take On the Tech Barons,Something has to be done about the  sector. Here’s what to keep in mind.
"Apple iPhone 12 Review: Superfast Speed, if You Can Find It","The new iPhone has an improved design, but it’s undermined by the wireless industry’s messy rollout of ultrafast 5G networks."
"IPhone 12’s 5G Asterisk: It’s Great, if It’s Available|October 21, 2020, Page B1","Apple unveiled the iPhone 12, left, and iPhone 12 Pro, right, last week."
Ignore Phone Companies About 5G,The cellular networks might be life-changing in the future. Not today.
What You Need to Know About 5G Smartphones,The newest iPhones are expected to run on next-generation 5G cellular networks. Let’s get real about what that means.
Apple Unveils Thinner iPhone That’s Built for ‘Super Fast’ 5G,"Tim Cook, chief executive of Apple, speaking about the new iPhone and 5G on Tuesday."
"Thanks to Trump, Huawei’s Cool New Phones Might Be Limited Edition",The battered Chinese giant won’t say how many of its new handsets it can produce. U.S. restrictions may have curtailed access to essential components.
U.S. Limits May Stall Run For New Phone By Huawei,Huawei’s new top-of-the-line smartphones are its first after the United States curtailed its ability to buy critical computer chips.
Business Leaders Speak Out on Election Integrity,"These days, nothing goes without saying."
The Tech That Might Help Cyclists and Cars Coexist Safely,"With more Americans riding bikes, there’s new pressure to find ways to make the streets safer for everyone."
Helping Bikes and Cars Share the Street,"Traffic in Manhattan during the early days of the pandemic. The old traffic has since returned, including even more cyclists."
Inside the New Tech Cold War,A conversation with The Times’s David Sanger on how Washington and Beijing are battling over the future of .
"In U.S.-China Tech Feud, Taiwan Feels Heat From Both Sides",The island’s biggest chip maker has been a coveted partner to both battling giants. But rising nationalism is making it harder to keep the middle ground.
"In a U.S.-China Tech Feud, Taiwan Is Feeling the Heat","People in Taiwan have a rhyme about TSMC’s workers: Shift by shift, they are saving Taiwan."
TikTok Was a Wasted Opportunity,The TikTok battle was a chance to debate big questions about  and government. We missed it.
Trump Is Wrong About TikTok. China’s Plans Are Much More Sinister.,The West still doesn’t understand the scale of Beijing’s soft-power ambitions.
America Is Going to Decapitate Huawei,The United States’ technological dominance gives it an immense power. But how long will that last?
"In Victory for Qualcomm, Appeals Court Throws Out Antitrust Ruling",A three-judge panel reversed a 2019 ruling that found that Qualcomm had abused its monopoly position in wireless chips.
Antitrust Ruling Tossed In Victory for Qualcomm,A federal appeals court on Tuesday threw out an antitrust verdict against the chip maker Qualcomm.
Is TikTok More of a Parenting Problem Than a Security Threat?,"Even as the White House moves against the Chinese social media app, the intelligence agencies do not see it as a major issue along the lines of Huawei."
It’s Distracting But Is TikTok Really a Risk?,President Trump issued an executive order on Thursday that would effectively ban TikTok from operating in the United States in 45 days if it is not sold to an American company.
"In Showdown Between China and the West, HSBC Gets Caught in the Middle",Global businesses are increasingly being asked to pick political and legal sides in the confrontation between the world’s two biggest economies.
A Showdown Snags HSBC In the Middle,"HSBC, a big global bank based in Britain, has long reveled in and profited from its deep relationship with China."
U.K. Bars Huawei for 5G as Tech Battle Between China and the West Escalates,Banning the use of the Chinese tech giant’s equipment in high-speed wireless infrastructure is a major reversal by Prime Minister Boris Johnson — and a big victory for the Trump administration.
"Defying China, Britain Rejects Telecom Giant",The British government said that it would ban the purchase of new Huawei equipment for 5G networks after December.
Pompeo Praises Britain for Getting Tough on China,The secretary of state praised the British government for recent actions on China as the Trump administration tries to build a global coalition against Beijing.
Pompeo Cheers Britain’s China Stance,Secretary of State Mike Pompeo with Prime Minister Boris Johnson of Britain at 10 Downing Street in London on Tuesday.
"E.U. Recommends Limiting, but Not Banning, Huawei in 5G Rollout",The bloc’s experts suggested members limit and monitor the involvement of “high-risk” vendors as they invest in next-generation mobile communications infrastructure.
"E.U. Recommends Limiting, but Not Banning, Huawei in the Rollout of 5G",A Huawei stand at the Mobile World Congress in Shanghai in June. The United States says the Chinese company is an espionage threat.
Britain Defies Trump Plea to Ban Huawei From 5G Network,The move shows how an American effort against the Chinese wireless equipment company has stumbled.
 Britain Gives Green Light To Huawei For 5G Work,"Huawei began working in Britain more than 15 years ago and now employs 1,300 people in the country."
"China’s Dominance of 5G Networks Puts U.S. Economic Future at Stake, Barr Warns","The attorney general said Chinese companies were winning the fight for the next generation of telecom networks, posing both an economic and national security threat."
"China’s Command of 5G Is a ‘Danger,’ Barr Says","“Our economic future is at stake,” said Attorney General William P. Barr on Thursday."
What You Need to Know About 5G in 2020,"After years of hype, carriers like AT&T and Verizon are giving consumers clarity on what their next-generation cellular networks will realistically do."
F.C.C. Designates Huawei and ZTE as National Security Threats,American cellular businesses will no longer be able to spend federal money on equipment from the two Chinese companies.
"In Huawei Battle, China Threatens Germany ‘Where It Hurts’: Automakers","VW, Daimler and BMW sell more cars in China than anywhere else and many already cooperate with Huawei — a dependency Beijing is not shy to exploit."
German Call on Huawei and 5G May Hinge on Vital Automakers,Chancellor Angela Merkel and Premier Li Keqiang of China taking a ride in a driverless Volkswagen van in Berlin in 2018.
Some Trump Officials Take Harder Actions on China During Pandemic,"Since the coronavirus spread from a metropolis on the Yangtze River across the globe, hard-liners in both Washington and Beijing have accelerated efforts to decouple elements of the relationship."
Washington Takes Hard Line Against Beijing During the Pandemic,Chinese paramilitary police guarding the entrance to Beijing’s Forbidden City as it reopened on Friday to a limited number of visitors.
"Burning Cell Towers, Out of Baseless Fear They Spread the Virus","A conspiracy theory linking the spread of the coronavirus to 5G wireless  has spurred more than 100 incidents this month, British officials said."
"Conspiracists Blame Cell Towers For Outbreak, and Arsons Follow","A telecom tower damaged by fire this month in Birmingham, England."
"T-Mobile Closes Merger With Sprint, and a Wireless Giant Is Born",The new T-Mobile will have over 100 million customers and plans to take on AT&T and Verizon.
"T-Mobile Closes Sprint Deal, And a Wireless Giant Is Born","With the completion of T-Mobile’s merger with Sprint, the T-Mobile president Mike Sievert was elevated to the job of chief executive."
The Humble Phone Call Has Made a Comeback,The volume of phone calls has surged more than internet use as people want to hear each other’s voices in the pandemic.
The Tech That Will Invade Our Lives in 2020,"From smart homes to ultrafast wireless speeds, here’s what to watch."
Hello iPhone 12 and iPhone 12 Pro,The newest iPhones have 5G capability and improved design features. But Apple was vague about just how much faster the phones would be.
What the Sprint and T-Mobile Merger Means for You,Here’s how the deal is likely to affect 100 million customers.
"Giant With 100 Million Users, Maybe Even You","Under the deal, Sprint will be absorbed by T-Mobile to create a wireless behemoth."
The Week in Tech: London Hands Washington a Loss on Huawei,The White House couldn’t persuade Boris Johnson to keep Huawei out of Britain’s 5G network.
London Hands Washington a Loss on Huawei,"A London billboard promoting Huawei, which Britain cleared this week to provide some 5G equipment."
"How Amazon, Geico and Walmart Fund Propaganda",Algorithms are sending ads by American brands onto Russian disinformation sites.
When U.S. Companies Fund Propaganda,A news conference by President Vladimir Putin of Russia being broadcast on RT television. Ads from American companies often appear on RT’s website. 
"U.S. Charges Huawei With Racketeering, Adding Pressure on China","The indictment is the Trump administration’s latest move in its fight against the Chinese tech giant, which it deems a security threat."
U.S. Charges That Huawei Tried to Steal Trade Secrets,A federal indictment unsealed on Thursday accused Huawei and its affiliates of a “pattern of racketeering activity.”
White House Official Says Huawei Has Secret Back Door to Extract Data,The allegation that Huawei maintains access to the data that flows through its network is the latest step in a campaign to thwart the Chinese telecom giant’s rise.
"Huawei Could Extract Secret Information, Top U.S. Official Says","The United States has continued to pressure other nations to ban Huawei from its telecom networks, saying the Chinese company poses a security threat."
Prices of New iPhones Stay Largely Pat,Apple did not markedly increase the cost of its newest devices from last year.
Pompeo Calls China’s Ruling Party ‘Central Threat of Our Times’,"Secretary of State Mike Pompeo made the stark statement at a meeting with his British counterpart, where he also talked up the prospect of a U.S. trade deal with Britain."
