Headings,Subheadings,
Barr Leaves a Legacy Defined by Trump,"Though he sometimes departed from the president, the outgoing attorney general’s term was dominated by how he navigated the Russia investigation and other fraught issues.",
"In Trump’s Corner, With Flashes of Autonomy","Attorney General William P. Barr, who departed last week, said he returned to government service to lead the Justice Department during a fraught period. ",
Clemency Case Shows the Perks Of Trump Ties,"Philip Esformes, a nursing home operator, was sentenced to 20 years in prison in a Medicare fraud case before President Trump commuted his sentence this week.",
"Answering Trump, Democrats Try and Fail to Jam $2,000 Payments Through House","In a brief bit of political theater, the House majority leader opened the chamber for business to ask for unanimous consent to accede to President Trump’s request for larger checks.",
"Answering Trump, Democrats Fail to Pass $2,000 Payments","At a news conference after the unsuccessful motions on Thursday, Representative Steny H. Hoyer, the majority leader, said House Democrats only agreed to the $600 checks initially because Republicans insisted on that number.",
Trump Warns Iran of Retaliation After Attacks on U.S. Embassy in Baghdad,"The administration and military officials blame Tehran for recent rocket attacks in Iraq, adding to the growing tensions between the United States and Iran.",
"Linking Iran To Attacks, Trump Issues A Warning","The heavily fortified green zone in Baghdad, which houses the U.S. Embassy.",
Trump’s Attack on Coronavirus Relief Divides G.O.P. and Threatens Recovery,"From the campaign trail in Georgia to Capitol Hill, President Trump’s demand for changes to the $900 billion pandemic relief plan upended political and economic calculations.",
"Republicans Split and Aid Imperiled By Trump Threats| 2020, Page A1",President Trump posted a video on Tuesday night demanding significant changes to the pandemic relief bill and larger direct stimulus checks to Americans.,
"Trump Vetoes Military Spending Bill, Setting Up a Congressional Showdown","The legislation passed with a veto-proof majority in the House and Senate, but it is unclear whether Congress will override the president.",
"Trump Fulfills Pledge to Veto Military Bill| 2020, Page A16",President Trump has demanded that the bill include a provision repealing a legal shield for social media companies.,
How Trump Has Jeopardized Stimulus Relief,The president’s demand that Congress amend a giant coronavirus relief and government spending bill has raised the unexpected prospect that help may no longer be days away.,
Biden Assails Trump Over Handling of Russia Hacking,"“This assault happened on Donald Trump’s watch when he wasn’t watching,” President-elect Joseph R. Biden Jr. said.",
Biden Assails Trump for ‘Irrational Downplaying’ of Hack by Russia,"“The attacker succeeded in catching the federal government off guard and unprepared,” President-elect Joseph R. Biden Jr. said on Tuesday at a news conference in Wilmington, Del.",
"Trump Gives Clemency to More Allies, Including Manafort, Stone and Charles Kushner","It was the second wave of pardons and commutations by the president in two days, showing his willingness to use his power aggressively on behalf of loyalists.",
President Adds More Loyalists To Pardon List,"Jared Kushner and his father, Charles Kushner, at a party in 2014 in New York. Charles Kushner was pardoned on Wednesday by President Trump.",
"Trump Demands Changes to Coronavirus Relief Bill, Calling It a ‘Disgrace’",The president sought bigger checks for Americans and a bill that dealt more specifically with pandemic relief.,
"Breaking Silence on Covid Relief, President Calls Bill a ‘Disgrace’","“It’s called the Covid relief bill, but it has almost nothing to do with Covid,” President Trump said in a video posted online on Tuesday.",
‘Like a Hand Grasping’: Trump Appointees Describe the Crushing of the C.D.C.,"Kyle McGowan, a former chief of staff at the Centers for Disease Control and Prevention, and his deputy, Amanda Campbell, go public on the Trump administration’s manipulation of the agency.",
"How the C.D.C. Lost Its Voice Under Trump|December 17, 2020, Page A8","“Every time that the science clashed with the messaging, messaging won,” said Kyle McGowan, a former chief of staff of the Centers for Disease Control and Prevention.",
Trump Incentives for Signing Peace Accords With Israel Could Be at Risk,"Diplomatic sweeteners for joining the Abraham Accords that were offered to Morocco, Sudan and the United Arab Emirates could be rejected by Congress or reversed by the incoming Biden administration.",
"Peace Deals With Israel May Face a Rethinking|December 21, 2020, Page A14","The Abraham Accords, President Trump’s signature foreign policy achievement, have either newly brokered or restarted economic and political ties for Israel with Bahrain, the United Arab Emirates, Sudan and Morocco.",
Biden Criticizes Trump on Vaccine Distribution and Pledges to Pick Up Pace,"Three weeks from taking office, Joe Biden called vaccinating Americans “the greatest operational challenge we’ve ever faced as a nation” and offered a bleak assessment of the months ahead.",
"Biden Rebukes Trump on Pace Of Inoculation|December 30, 2020, Page A1",President-elect Joseph R. Biden Jr. has vowed to get 100 million vaccine shots into the arms of Americans in his first 100 days in office.,
A Glitch in Trump’s Plan to Live at Mar-a-Lago: A Pact He Signed Says He Can’t,Neighbors of the president say he has violated the 1993 agreement he made with Palm Beach that allowed him to convert a private residence into a moneymaking club.,
"Might Trump Move Back to Mar-a-Lago? Not So Fast, the Neighbors Say","A use agreement says no member of the president’s Mar-a-Lago club in Palm Beach, Fla., may stay on the property for more than 21 days a year.",
Barr Says C.I.A. ‘Stayed in Its Lane’ in Examining Russian Election Interference,"In an interview with a Wall Street Journal columnist, the attorney general defended his legacy and criticized the special counsel’s investigation.",
Barr Denies Claim That C.I.A. Targeted Trump,Attorney General William P. Barr will depart the Justice Department next week.,
"Bill That Trump Is Vowing to Veto Strengthens Hacking Defenses, Lawmakers Say","Additional powers to actively hunt down hackers across federal agencies could have given the government more of a chance to detect the recent Russia hack more quickly, they said.",
Pentagon Bill Includes Tools for Cyberdefense,"This went undetected for months and months by U.S. government agencies,&rdquo; said Representative Mike Gallagher, Republican of Wisconsin. &ldquo;I think it shows a weakness of the federal defense.&rdquo;",
Pfizer Seals Deal With U.S. for 100 Million More Vaccine Doses,"The company agreed to deliver the additional doses of its coronavirus vaccine by the end of July, helping address a looming shortage.",
Pfizer Seals Deal With Trump Administration for Millions More Vaccine Doses,"A health worker receiving the Pfizer vaccine in Arlington, Va., this month. The Trump administration and Pfizer announced a deal to provide an additional 100 million doses next year.",
"A President Unhappy, Unleashed and Unpredictable","President Trump remains the most powerful man in the world, but powerless to achieve what he most wants: to avoid leaving office as a loser.",
A Lame Duck On the Loose And on a Tear,President Trump returning to the White House after the Army-Navy football game this month. He has made few public appearances in the past few weeks.,
William Barr Is Out as Attorney General,Mr. Barr was one of the most powerful members of President Trump’s cabinet and faced widespread criticism over his willingness to advance Mr. Trump’s political agenda.,
"Barr, Who Tied Justice Dept. to Trump, Will Resign as Attorney General",Attorney General William P. Barr quickly became a trusted adviser to President Trump.,
Trump Rescinds Plan for White House Staff to Be Quickly Vaccinated,The administration had initially defended a plan to distribute vaccines to its senior members even as the first doses are generally being reserved for high-risk health care workers.,
White House Staff Will Get Vaccine Soon,"It was not immediately clear why President Trump decided to change the policy, or whether he had even been aware of it ahead of time. ",
Buried in Pandemic Aid Bill: Billions to Soothe the Richest,"The voluminous coronavirus relief and spending bill that blasted through Congress on Monday includes provisions — good, bad and just plain strange — that few lawmakers got to read.",
"Among Items Buried In 5,593-Page Package: Billions for the Richest","Senator Joe Manchin III, Democrat of West Virginia, at the Capitol last week. He said leadership intentionally waited until the last minute to unveil final proposals to the spending bill.",
U.S. Considers Granting Immunity to Saudi Prince in Suspected Assassination Attempt,"If the request is granted, it could potentially provide a legal basis to dismiss a separate case against Crown Prince Mohammed bin Salman for the killing of Jamal Khashoggi.",
U.S. Is Weighing Immunity For the Saudi Crown Prince,Crown Prince Mohammed bin Salman of Saudi Arabia is accused of directing the assassination of the dissident journalist Jamal Khashoggi in 2018.,
Pfizer Nears Deal With Trump Administration to Provide More Vaccine Doses,The company could provide at least tens of millions of additional doses of a coronavirus vaccine under an agreement that would give it better access to the supplies it needs to expand manufacturing.,
U.S. and Pfizer Nearing Deal To Expand Supply of Vaccine,"A health worker receiving the Pfizer vaccine in Arlington, Va., this month. The Trump administration and Pfizer announced a deal to provide an additional 100 million doses next year.",
Barr Sees ‘No Reason’ for Special Counsels for Hunter Biden or the Election,"The departing attorney general, William P. Barr, again broke with President Trump on his unsupported claims of widespread election fraud and the need to appoint a special counsel to investigate the president-elect’s son.",
How Richard Jewell’s Lawyer Became a Pro-Trump Conspiracy Theorist,The defamation lawyer L. Lin Wood has transformed into a fierce advocate for President Trump whose error-riddled lawsuits have promoted falsehoods about election fraud.,
"Lawyer, Conspiracy Theorist and a ‘Talented Demagogue’","Lin Wood, a lawyer who gained prominence through high-profile defamation cases, is now best known for amplifying the president’s false claims about the election.",
Trump Administration Is Criticized Over Proposal to Split Cyberoperations Leadership,"As the government grapples with a vast hack, the Pentagon is weighing whether to separate management of the National Security Agency from the United States Cyber Command.",
"After Breach, Plan to Strip Cyber Command Director Of N.S.A. Title Draws Ire","Gen. Paul M. Nakasone, the commander of United States Cyber Command and the director of the National Security Agency. The Trump administration is weighing whether to separate his two roles.",
"As His Term Ends, Trump Faces More Questions on Payments to His Hotel",A civil case being pursued by the attorney general for the District of Columbia has brought renewed attention to what limits there should be on a president’s ability to profit from the office.,
 New Questions On Hotel’s Use Under Trump,The Trump International Hotel in Washington. The question of whether President Trump and his family profited from his public position has persisted throughout his time in office.,
"Citing Trump’s Pardon, Judge Dismisses Case Against Michael Flynn",A federal judge portrayed the Justice Department’s prior attempt to drop the case as unlikely to have met legal standards as legitimate.,
Flynn Case Is Dismissed As Result Of a Pardon,"Michael T. Flynn was the only White House official charged in the Russia investigation by the special counsel, Robert S. Mueller III.",
Barr Is Said to Be Weighing Whether to Leave Before Trump’s Term Ends,The attorney general’s future came into doubt after he acknowledged that the Justice Department had not found evidence of widespread voter fraud in the president’s election loss.,
Barr Is Said to Consider Leaving Office Before the End of Trump’s Term,Attorney General William P. Barr is said to be considering whether to leave office before the end of President Trump’s term.,
"Howard J. Rubenstein, Public Relations Impresario, Dies at 88","He polished the tarnished images of the rich, the famous and the flawed, with clients that included Donald J. Trump, Rupert Murdoch and George M. Steinbrenner.",
Pompeo Weighs Plan to Place Cuba on U.S. Terrorism Sponsor List,The move would complicate any effort by the incoming Biden administration to resume President Barack Obama’s thaw in relations with Havana.,
Pompeo Weighs Plan to Place Cuba on U.S. Terror List,Secretary of State Mike Pompeo has&nbsp,three weeks left until the inauguration to decide whether Cuba should be designated as a state sponsor of terrorism.
Scope of Russian Hacking Becomes Clear: Multiple U.S. Agencies Were Hit,"The Pentagon, intelligence agencies, nuclear labs and Fortune 500 companies use software that was found to have been compromised by Russian hackers. The sweep of stolen data is still being assessed.",
Agencies Race to Assess Damage After Being Hacked by Russia,"About 18,000 private and government users downloaded a tainted software update that gave Russian hackers a foothold into victims’ systems, according to SolarWinds, the company whose software was compromised.",
A Trump Immigration Policy Is Leaving Families Hungry,"The “public charge” rule was supposed to ensure that green cards go only to self-sufficient immigrants, but in the pandemic, it is driving up hunger and leaving Joe Biden with a quandary.",
"Trump’s Limits On Immigrants Fuel Food Lines|December 5, 2020, Page A1","“We’re leaving it to God, but we’re also hoping if we have a new administration and a new president, that all that changes,” Nailea Avalos said.",
Trump Administration Plans a Rushed Effort to Encourage Americans to Be Vaccinated,"A large-scale public education campaign, delayed by false starts and investigations, will get off the ground just as the coronavirus vaccine becomes available to high-risk Americans.",
Loading shipments of the Pfizer-BioNTech Covid-19 vaccine onto a UPS plane in Michigan on Sunday. The first vaccinations are expected to be administered on Monday.,,
"Russian Hackers Broke Into Federal Agencies, U.S. Officials Suspect","In one of the most sophisticated and perhaps largest hacks in more than five years, email systems were breached at the Treasury and Commerce Departments. Other breaches are under investigation.",
"Russians Hack U.S. Agencies In Bold Attack|December 14, 2020, Page A1",The Treasury Department was one of the agencies targeted by the hackers.,
Trump Officials Push Ambitious Vaccine Timeline as California Locks Down,"As cases surge and hospital beds fill up, federal officials said a vaccine could be distributed to as many as 24 million people by mid-January.",
Vaccine May Ship In Days as Cases Surpass Record,"A coronavirus testing site in Los Angeles on Friday. As cases have surged in California, residents now face the strictest restrictions since the beginning of the pandemic.",
A Trump Fed Pick Squeaks Through Senate Confirmation,Christopher Waller will be the fifth Trump pick on the Fed’s seven-member Board of Governors.,
Senate Barely Confirms Trump Pick for the Fed,Christopher Waller was the more conventional of President Trump’s two pending picks for the Fed board, the other has increasingly faint hopes for approval.
Trump Associates Said to Have Been Scrutinized in Suspected Pardon Scheme,A billionaire from the San Francisco area sought clemency for a psychologist convicted of monetary crimes. The Republican donor Elliott Broidy and a lawyer who later represented Jared Kushner were enlisted.,
Two Associates of Trump Linked to Pardons Inquiry,The Justice Department as recently as this summer investigated a potential pardon plot involving a tax crimes convict.,
Material From Giuliani Spurred a Separate Justice Dept. Pursuit of Hunter Biden,"The inquiry, based out of Pittsburgh, was run parallel to an investigation in Delaware and raised alarms among F.B.I. agents about politicization.",
